,title,Price,Rating,Number_of_ratings,Bought_in_past_month,Link
0,"AGARO Supreme High Pressure Washer, Car Washer, 1800 Watts Motor, 120 Bars, 6.5L/Min Flow Rate, 8 Meters Outlet Hose, Portable, Car, Bike & Home Cleaning, Black and Orange  ","4,199",4.1 out of 5 stars,"5,774  ",2K+ bought in past month,http://amazon.in//Supreme-Pressure-Portable-Cleaning-Purpose/dp/B09VKWGZD7/ref=sr_1_3?crid=2329DE5DWIEET&dib=eyJ2IjoiMSJ9.h9T2A_aP2jvHKxAGjcIFRbcRTKVy2-bkizGubojIebYlPevUWVp8UHQeCFiBJHV73h_SdKX8fowHGCRJvNdUQmaQzf0yu5iMC_AaKpZSL62z4YtLV-cTiyeRTsd-ToAsTufinc821pNnPPF6mmcJqX2J4c8dpXEj5xnWi5T2bpBlLJgLQPyailoWGfvQ1IT6954qjSGlC5TO6itJvVBopNn4R4cVISR0ZGJgB7pAGXc.PFI9K1cd64Gd23GlpcSdh020gU0D4ofROrTeCu_pAw4&dib_tag=se&keywords=Car+Washer&qid=1721928422&sprefix=car+washer%2Caps%2C260&sr=8-3
1,"Asian Paints Trucare High Pressure Washer 1800w 120 bar pressure | 7 litre/min flow rate | 8 meters Outlet Hose provided | Portable, used for home cleaning, Bike & car cleaning | Grip Handle  ","4,099",3.8 out of 5 stars,684  ,1K+ bought in past month,http://amazon.in//Asian-Paints-Pressure-provided-Portable/dp/B0C7GNVRYG/ref=sr_1_4?crid=2329DE5DWIEET&dib=eyJ2IjoiMSJ9.h9T2A_aP2jvHKxAGjcIFRbcRTKVy2-bkizGubojIebYlPevUWVp8UHQeCFiBJHV73h_SdKX8fowHGCRJvNdUQmaQzf0yu5iMC_AaKpZSL62z4YtLV-cTiyeRTsd-ToAsTufinc821pNnPPF6mmcJqX2J4c8dpXEj5xnWi5T2bpBlLJgLQPyailoWGfvQ1IT6954qjSGlC5TO6itJvVBopNn4R4cVISR0ZGJgB7pAGXc.PFI9K1cd64Gd23GlpcSdh020gU0D4ofROrTeCu_pAw4&dib_tag=se&keywords=Car+Washer&qid=1721928422&sprefix=car+washer%2Caps%2C260&sr=8-4
2,VODIQ Cordless Portable Wireless Pressure Washer Gun 48V 12000mah High Pressure Water Gun for Car Wash Bike Washing Cleaning| Adjustable Nozzle and 5M Hose Pipe (DOUBLE_BETTERY)  ,"1,879",4.1 out of 5 stars,16  ,400+ bought in past month,http://amazon.in//VODIQ-Cordless-Portable-Adjustable-DOUBLE_BETTERY/dp/B0D8213QCX/ref=sr_1_9?crid=2329DE5DWIEET&dib=eyJ2IjoiMSJ9.h9T2A_aP2jvHKxAGjcIFRbcRTKVy2-bkizGubojIebYlPevUWVp8UHQeCFiBJHV73h_SdKX8fowHGCRJvNdUQmaQzf0yu5iMC_AaKpZSL62z4YtLV-cTiyeRTsd-ToAsTufinc821pNnPPF6mmcJqX2J4c8dpXEj5xnWi5T2bpBlLJgLQPyailoWGfvQ1IT6954qjSGlC5TO6itJvVBopNn4R4cVISR0ZGJgB7pAGXc.PFI9K1cd64Gd23GlpcSdh020gU0D4ofROrTeCu_pAw4&dib_tag=se&keywords=Car+Washer&qid=1721928422&sprefix=car+washer%2Caps%2C260&sr=8-9
3,"Caggo Portable Foam Pump Sprayer for Mix with Car Shampoo & Water & No Pressure Washer Required, Leakproof Foaming Pump 1.8 Litre  ","1,199",4.2 out of 5 stars,219  ,100+ bought in past month,http://amazon.in//Portable-Sprayer-Pressure-Required-Leakproof/dp/B0C96B1G4T/ref=sr_1_65?crid=2329DE5DWIEET&dib=eyJ2IjoiMSJ9.o_df9mLNyGV7I8PoegZdrQJAUn9JgPW0JI7NG7r6miiWz4T3BQGVjTqDE6jQUnyT2wz1323y_XmwN-6bHbIWkNAF5eayfnLGyl598_7hMDxpMCkh7Kr5wzGQ7QkFljYTLjxYavOazC8a1EVkY9L6os5TkLuc-vKaArwpibBhP2VGeQ1WHpe35jqUFndHruDSqoezUpi6v8alg1Uj5_dd2YOk9VBihpffpWO9C-4SPcE.QHqL14qj_GQuzzoy5eTDehGnWh9Zd3pHzW9lWZPVcco&dib_tag=se&keywords=Car+Washer&qid=1721928444&sprefix=car+washer%2Caps%2C260&sr=8-65
4,MSA Hand Work Car Washing Sponge with Microfiber Washer Towel Duster for Cleaning Car/Bike | Car Cleaning Brush | Cleaner Tools ( Pack of 2 )  ,399,NA,NA,NA,http://amazon.in//MSA-Washing-Microfiber-Cleaning-Cleaner/dp/B09HHF1SRL/ref=sr_1_66?crid=2329DE5DWIEET&dib=eyJ2IjoiMSJ9.o_df9mLNyGV7I8PoegZdrQJAUn9JgPW0JI7NG7r6miiWz4T3BQGVjTqDE6jQUnyT2wz1323y_XmwN-6bHbIWkNAF5eayfnLGyl598_7hMDxpMCkh7Kr5wzGQ7QkFljYTLjxYavOazC8a1EVkY9L6os5TkLuc-vKaArwpibBhP2VGeQ1WHpe35jqUFndHruDSqoezUpi6v8alg1Uj5_dd2YOk9VBihpffpWO9C-4SPcE.QHqL14qj_GQuzzoy5eTDehGnWh9Zd3pHzW9lWZPVcco&dib_tag=se&keywords=Car+Washer&qid=1721928444&sprefix=car+washer%2Caps%2C260&sr=8-66
5,"KIDPALACE Cordless Pressure Washer Portable Power Washer, Pressure Water Spray Gun 1 * 20Ah Rechargeable Battery, Portable High Pressure Car Washer, Garden/Fence/Pet/Deck Cleaning, Tool Only  ","1,799",4.1 out of 5 stars,7  ,NA,http://amazon.in//KIDPALACE-Cordless-Pressure-Portable-Rechargeable/dp/B0CRHSJ22R/ref=sr_1_67?crid=2329DE5DWIEET&dib=eyJ2IjoiMSJ9.o_df9mLNyGV7I8PoegZdrQJAUn9JgPW0JI7NG7r6miiWz4T3BQGVjTqDE6jQUnyT2wz1323y_XmwN-6bHbIWkNAF5eayfnLGyl598_7hMDxpMCkh7Kr5wzGQ7QkFljYTLjxYavOazC8a1EVkY9L6os5TkLuc-vKaArwpibBhP2VGeQ1WHpe35jqUFndHruDSqoezUpi6v8alg1Uj5_dd2YOk9VBihpffpWO9C-4SPcE.QHqL14qj_GQuzzoy5eTDehGnWh9Zd3pHzW9lWZPVcco&dib_tag=se&keywords=Car+Washer&qid=1721928444&sprefix=car+washer%2Caps%2C260&sr=8-67
6,"Powerful Pressure Washer with 12000 Mah Rechargeable Battery, Cordless High Pressure Washer Gun | Multi Cleaning Works Like Car & Bike Washing, Gardening & Home Cleaning Works  ","1,999",3.4 out of 5 stars,125  ,50+ bought in past month,http://amazon.in//Powerful-Pressure-Rechargeable-Cordless-Gardening/dp/B0CHWHX1TG/ref=sr_1_68?crid=2329DE5DWIEET&dib=eyJ2IjoiMSJ9.o_df9mLNyGV7I8PoegZdrQJAUn9JgPW0JI7NG7r6miiWz4T3BQGVjTqDE6jQUnyT2wz1323y_XmwN-6bHbIWkNAF5eayfnLGyl598_7hMDxpMCkh7Kr5wzGQ7QkFljYTLjxYavOazC8a1EVkY9L6os5TkLuc-vKaArwpibBhP2VGeQ1WHpe35jqUFndHruDSqoezUpi6v8alg1Uj5_dd2YOk9VBihpffpWO9C-4SPcE.QHqL14qj_GQuzzoy5eTDehGnWh9Zd3pHzW9lWZPVcco&dib_tag=se&keywords=Car+Washer&qid=1721928444&sprefix=car+washer%2Caps%2C260&sr=8-68
7,"KP TECH High Pressure Washer for Car, Bike and Home 1400W 100% Pure Copper Motor, 130 Bar Pressure,6.5 L/Min Flow Rate with 5 Meter Priming Pipe-Foam Cannon-Rotary Turbo Nozzle HPW1400  ","5,299",NA,NA,NA,http://amazon.in//sspa/click?ie=UTF8&spc=MTozNTA4OTcwNDM1NTMxMzUwOjE3MjE5Mjg0NDQ6c3BfYnRmOjMwMDI1OTU2NDc5MzAzMjo6MDo6&url=%2FKP-TECH-Pressure-Pipe-Foam-Cannon-Rotary%2Fdp%2FB0D3LRXQ8B%2Fref%3Dsr_1_69_sspa%3Fcrid%3D2329DE5DWIEET%26dib%3DeyJ2IjoiMSJ9.o_df9mLNyGV7I8PoegZdrQJAUn9JgPW0JI7NG7r6miiWz4T3BQGVjTqDE6jQUnyT2wz1323y_XmwN-6bHbIWkNAF5eayfnLGyl598_7hMDxpMCkh7Kr5wzGQ7QkFljYTLjxYavOazC8a1EVkY9L6os5TkLuc-vKaArwpibBhP2VGeQ1WHpe35jqUFndHruDSqoezUpi6v8alg1Uj5_dd2YOk9VBihpffpWO9C-4SPcE.QHqL14qj_GQuzzoy5eTDehGnWh9Zd3pHzW9lWZPVcco%26dib_tag%3Dse%26keywords%3DCar%2BWasher%26qid%3D1721928444%26sprefix%3Dcar%2Bwasher%252Caps%252C260%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
8,"Ghime High Pressure Washer Gun, 970 PSI Cordless High Power, 48V Two Rechargeable Battery Powered, 6-in-1 Nozzle Handheld Cleaner Water Gun for Car, Home, Floor Cleaning, Gardening  ","4,499",3.1 out of 5 stars,7  ,NA,http://amazon.in//sspa/click?ie=UTF8&spc=MTozNTA4OTcwNDM1NTMxMzUwOjE3MjE5Mjg0NDQ6c3BfYnRmOjMwMDEzNTAwNTg2NzEzMjo6MDo6&url=%2FGhime-Pressure-Cordless-Rechargeable-Gardening%2Fdp%2FB0CW2VH88J%2Fref%3Dsr_1_70_sspa%3Fcrid%3D2329DE5DWIEET%26dib%3DeyJ2IjoiMSJ9.o_df9mLNyGV7I8PoegZdrQJAUn9JgPW0JI7NG7r6miiWz4T3BQGVjTqDE6jQUnyT2wz1323y_XmwN-6bHbIWkNAF5eayfnLGyl598_7hMDxpMCkh7Kr5wzGQ7QkFljYTLjxYavOazC8a1EVkY9L6os5TkLuc-vKaArwpibBhP2VGeQ1WHpe35jqUFndHruDSqoezUpi6v8alg1Uj5_dd2YOk9VBihpffpWO9C-4SPcE.QHqL14qj_GQuzzoy5eTDehGnWh9Zd3pHzW9lWZPVcco%26dib_tag%3Dse%26keywords%3DCar%2BWasher%26qid%3D1721928444%26sprefix%3Dcar%2Bwasher%252Caps%252C260%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
9,"STARQ W8 | 280 Bar 2800W | Heavy Duty High Pressure Washer for Car, Bike, Home | Red  ","5,999",4.1 out of 5 stars,"8,115  ",NA,http://amazon.in//sspa/click?ie=UTF8&spc=MTo4NzA5MzE2OTExMDMxMjYzOjE3MjE5Mjg0NTA6c3BfYXRmX25leHQ6MzAwMjQ0ODMxOTk1MzMyOjowOjo&url=%2FSTARQ%25C2%25AE-Portable-Pressure-Washer-Cleaner%2Fdp%2FB089GT2ZKZ%2Fref%3Dsr_1_65_sspa%3Fcrid%3D2329DE5DWIEET%26dib%3DeyJ2IjoiMSJ9.Hn1NdUEdsH7CGwxmvnUrZZVN9yRREqXx6z0pWhEIw-YbcfWhb4QFklIHHHwUDLqY4I4oKuDZT0BP8EefVupNlarN1Tnc26ZCFsz68bbHu4Cj2MCOQxvlqIqQ8UDfJBvcKgOlbkFOYqYmwnoBDBi2mTXAt9aWknGTAjgNQdS2JKcDvoI9EzVuLg8NZ8LrouzfVHioXMlfh7iY7kQXx951j3Gxc0ISfcXR0mNjnnxN2hQ.0C482bytKqMD2WRl0Oc_KIDLDqCZ5eLTThCGiwKfr8o%26dib_tag%3Dse%26keywords%3DCar%2BWasher%26qid%3D1721928450%26sprefix%3Dcar%2Bwasher%252Caps%252C260%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
